form_name,field_label,field_key,canonical_key,mapping_status,type,required,confidence,sample_value
CENTURION_THERAPEUTICS_IVR,New Wound,new_wound,new_wound,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,Additional Application,additional_application,Order_Type,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,Re-verification,re_verification,Order_Type,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,New Insurance,new_insurance,primary_insurance,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,EMAIL TO,email_to,email_to,unmapped,text,False,0,hotline@advantagerma.com
CENTURION_THERAPEUTICS_IVR,FAX TO,fax_to,contact_fax,mapped,text,False,0,855-729-5758
CENTURION_THERAPEUTICS_IVR,Patient Name,patient_name,patient_name,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,DOB,dob,patient_dob,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Male,male,patient_gender,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,Female,female,patient_gender,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,Address,address,patient_address,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,City,city,patient_city,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,State,state,patient_state,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Zip,zip,patient_zip,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Home Phone #,home_phone,contact_phone,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Mobile #,mobile,mobile_phone,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,"Yes
nursing",yes_nursing,checkbox_yes,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,"No
facility or nursing home?",no_facility_or_nursing_home,checkbox_no,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,"If YES, how many days has the patient been admitted to the skilled",if_yes_how_many_days_has_patient_been_admitted_to_skilled,patient_name,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Primary Insurance,primary_insurance,primary_insurance,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Secondary Insurance,secondary_insurance,secondary_insurance,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Payer Phone,payer_phone,contact_phone,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Policy Number,policy_number,policy_number,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Subscriber Name,subscriber_name,patient_name,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Physican Name,r_name,physican_name,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Specialty,specialty,physican_Speciality,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,PTAN #,ptan,physican_PTAN,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Physican ID #s: NPI :,r_id_s_npi,physican_npi,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Tax ID,tax_id,tax_id,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Medicaid Physican #,medicaid_r,medicaid_physican_number,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Facility Name,facility_name,facility_name,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Facility ID #s: NPI :,facility_id_s_npi,physican_npi,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Facility Contact,facility_contact,facility_contact,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Phone #.,phone,contact_phone,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Fax #,fax,contact_fax,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Email Address,email_address,patient_address,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Hospital Outpatient Wound Dept/Clinic (HOPD) (POS-22),hospital_outpatient_wound_dept_clinic_hopd_pos_22,patient_name,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,Physican's Office (POS-11),r_s_office_pos_11,place_of_service,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,Home (POS-12),home_pos_12,place_of_service,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,ALF (POS-13),alf_pos_13,place_of_service,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,SNF (POS-31),snf_pos_31,place_of_service,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,Nursing (POS-32),nursing_pos_32,place_of_service,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,AmnioBand Q4151,amnioband_q4151,product_amnioband_q4151,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,Allopatch Q4128,allopatch_q4128,Product_,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,"Primary
Known Conditions",primary_known_conditions,checkbox_no,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Secondary,secondary,secondary_insurance,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Tertiary,tertiary,tertiary_insurance,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Anticipated Treatment Start Date,anticipated_treatment_start_date,anticipated_date,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Frequency,frequency,application_frequency,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Number of Applications,number_of_applications,number_of_applications,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Yes,yes,checkbox_yes,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,No,no,diagnosis,mapped,text,False,0,:unselected:
CENTURION_THERAPEUTICS_IVR,Physican Signature,r_signature,physican_signature,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Date,date,patient_dob,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Sales Representative,sales_representative,Sales_Rep,mapped,text,False,0,
CENTURION_THERAPEUTICS_IVR,Email,email,patient_email,mapped,text,False,0,
EXTREMITY CARE Coll-e-Derm IVR,email,email,patient_email,mapped,text,False,0,IVR@extremitycare.com
EXTREMITY CARE Coll-e-Derm IVR,Call,call,call,unmapped,text,False,0,1.888.694.6694
EXTREMITY CARE Coll-e-Derm IVR,New Application,new_application,Order_Type,mapped,text,False,0,:unselected:
EXTREMITY CARE Coll-e-Derm IVR,Additional Application,additional_application,Order_Type,mapped,text,False,0,:unselected:
EXTREMITY CARE Coll-e-Derm IVR,Re-verification,re_verification,Order_Type,mapped,text,False,0,:unselected:
EXTREMITY CARE Coll-e-Derm IVR,New Insurance,new_insurance,primary_insurance,mapped,text,False,0,:unselected:
EXTREMITY CARE Coll-e-Derm IVR,2×2cm,2_2cm,Requested_Size,mapped,text,False,0,:unselected:
EXTREMITY CARE Coll-e-Derm IVR,4×4cm,4_4cm,Requested_Size,mapped,text,False,0,:unselected:
EXTREMITY CARE Coll-e-Derm IVR,2×3cm,2_3cm,Requested_Size,mapped,text,False,0,:unselected:
EXTREMITY CARE Coll-e-Derm IVR,4x6cm,4x6cm,product_size_4x6cm,mapped,text,False,0,:unselected:
EXTREMITY CARE Coll-e-Derm IVR,Physician Office/Clinic (POS11),physician_office_clinic_pos11,physican_name,mapped,text,False,0,:unselected:
EXTREMITY CARE Coll-e-Derm IVR,Patient Home (POS12),patient_home_pos12,patient_name,mapped,text,False,0,:unselected:
