"File Path","Type","Severity","Message","Suggestion"
"resources\js\Pages\Order\Tracking.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\Order\Tracking.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Pages\Order\CreateOrder.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\Order\CreateOrder.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Order\TrackingInfo.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Order\TrackingInfo.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Components\GhostAiUi\VoiceAssistant.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\DiagnosisCode\DiagnosisCodeSelector.test.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Admin\IVRExpirationWarning.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Admin\IVRExpirationWarning.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Pages\Admin\Patients\IVRStatus.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\Admin\Patients\IVRStatus.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Pages\Admin\DocuSeal\Templates.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\Admin\DocuSeal\Templates.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\GhostAiUi\ui\chart.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\GhostAiUi\ui\chart.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\GhostAiUi\ui\chart.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Components\GhostAiUi\ui\alert.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\GhostAiUi\ui\alert.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Components\Admin\DocuSeal\MappingStatsDashboard.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Admin\DocuSeal\MappingStatsDashboard.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Admin\DocuSeal\BulkMappingModal.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Admin\DocuSeal\BulkMappingModal.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Pages\QuickRequest\Orders\ui\sonner.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\QuickRequest\Orders\ui\chart.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\QuickRequest\Orders\ui\chart.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Orders\ui\chart.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Pages\QuickRequest\Orders\ui\alert.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\QuickRequest\Orders\ui\alert.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Pages\SystemAdmin\Integrations.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\SystemAdmin\Audit.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Settings\Index.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\SalesRep\SubRepDashboard.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\QuickRequest\OrderSummary.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Products\Show.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Products\Create.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\PreAuthorization\Index.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Engines\RecommendationRules.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Engines\ClinicalRules.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Errors\NoAccess.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Auth\RequestAccess.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Auth\ProviderInvitationRefactored.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Auth\ProviderInvitation.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
"resources\js\Pages\Auth\Login.tsx","missing-main-layout","warning","Page component does not import or use MainLayout","Wrap page content with MainLayout or import MainLayout"
